fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-04-01,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,693.7704120956736
2026-04-02,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,1055.3746387495514
2026-04-03,C1002,Moda,Madrid,Online,7,39.77,0.05,26,415.5711372041408
2026-04-04,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,349.1525648795401
2026-04-05,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,1942.8981983051278
2026-04-06,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,1954.7198980967546
2026-04-07,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3698.199949549564
2026-04-08,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1270.3691684149414
2026-04-09,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,263.9357955950997
2026-04-10,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,556.7155983686296
2026-04-11,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,2725.670303580891
2026-04-12,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,2452.5365949469283
2026-04-13,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,790.0580627730467
2026-04-14,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,2361.5895715683323
2026-04-15,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2284.270047077068
2026-04-16,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,474.66687906996873
2026-04-17,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,1800.4630114928364
2026-04-18,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,419.05886966503266
2026-04-19,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,649.2615753288225
2026-04-20,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,659.8952401829995
2026-04-21,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,306.99180943066114
2026-04-22,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,3380.3078894052883
2026-04-23,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,871.855480723443
2026-04-24,C1023,Hogar,Cataluña,Tienda,11,104.03,0.0,50,1392.662254474431
2026-04-25,C1024,Alimentación,Madrid,Online,4,23.9,0.04,20,29.94954187712776
2026-04-26,C1025,Moda,Andalucía,Online,7,,0.07,14,441.06388832841526
2026-04-27,C1026,Tecnología,Valencia,Distribuidor,11,307.56,0.07,5,3013.2547546992996
2026-04-28,C1027,Alimentación,Cataluña,Tienda,5,57.08,0.0,41,507.37726371160164
2026-04-29,C1028,Alimentación,Madrid,Tienda,11,25.2,0.06,40,226.88119357188702
2026-04-30,C1029,Tecnología,Andalucía,Distribuidor,10,280.9,0.04,34,3154.8348535673717
2026-04-31,C1030,Alimentación,Andalucía,Tienda,5,30.68,0.07,45,281.58961321042284
2026-04-01,C1031,Tecnología,Madrid,Distribuidor,15,281.95,0.13,71,3463.0035521546974
2026-04-02,C1032,Tecnología,Valencia,Tienda,7,283.88,0.05,71,1942.0548481507851
2026-04-03,C1033,Servicios,Madrid,Online,5,187.91,0.13,27,958.2307072774912
2026-04-04,C1034,Servicios,Cataluña,Online,6,136.48,0.19,44,750.8932869561415
2026-04-05,C1035,Moda,Madrid,Tienda,8,75.5,0.02,33,556.3913036881753
2026-04-06,C1036,Hogar,,Tienda,9,114.02,0.08,33,1233.1252172446784
2026-04-07,C1037,Tecnología,Madrid,Online,11,269.43,0.02,44,3553.64615995472
2026-04-08,C1038,Moda,Valencia,Online,9,81.91,0.2,20,384.3226008796012
2026-04-09,C1039,Alimentación,Castilla-La Mancha,Online,7,57.0,0.07,36,534.8065435764136
