fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-08-01,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,816.8030682021912
2026-08-29,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,1020.0608485664743
2026-08-19,C1002,Moda,Madrid,Online,7,39.77,0.05,26,287.40422576009655
2026-08-01,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,263.28479118050006
2026-08-24,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,2731.4449798925825
2026-08-30,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,2350.155151586179
2026-08-06,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3134.1774819099087
2026-08-29,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1472.23039242684
2026-08-11,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,240.46646134536277
2026-08-07,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,468.10922234248596
2026-08-02,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,3611.5161801065397
2026-08-01,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,2975.207802473812
2026-08-02,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,660.1036070575776
2026-08-16,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,1824.112709095176
2026-08-03,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2254.210653641185
2026-08-10,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,394.99269071851785
2026-08-05,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,2023.5464703128096
2026-08-04,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,402.83619554527064
2026-08-08,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,541.6881524158601
2026-08-30,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,673.0875395514593
2026-08-08,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,337.098652170459
2026-08-21,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,2732.004907803911
2026-08-10,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,665.5397813840405
2026-08-22,C1023,Hogar,Cataluña,Tienda,11,104.03,0.0,50,1229.4225363525647
2026-08-05,C1024,Alimentación,Madrid,Online,4,23.9,0.04,20,34.14893092501458
2026-08-30,C1025,Moda,Andalucía,Online,7,,0.07,14,320.74400619204016
2026-08-01,C1026,Tecnología,Valencia,Distribuidor,11,307.56,0.07,5,3129.7064046888177
2026-08-16,C1027,Alimentación,Cataluña,Tienda,5,57.08,0.0,41,499.22481278711473
2026-08-18,C1028,Alimentación,Madrid,Tienda,11,25.2,0.06,40,255.63149509747873
2026-08-13,C1029,Tecnología,Andalucía,Distribuidor,10,280.9,0.04,34,2858.5788471276546
2026-08-22,C1030,Alimentación,Andalucía,Tienda,5,30.68,0.07,45,295.96354523326875
2026-08-01,C1031,Tecnología,Madrid,Distribuidor,15,281.95,0.13,71,4406.805164536226
2026-08-12,C1032,Tecnología,Valencia,Tienda,7,283.88,0.05,71,2671.9024572595276
2026-08-18,C1033,Servicios,Madrid,Online,5,187.91,0.13,27,933.4334869370915
