fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-12-21,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,713.2703191293797
2026-12-15,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,867.6020430412071
2026-12-09,C1002,Moda,Madrid,Online,7,39.77,0.05,26,307.07285488239467
2026-12-10,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,272.30230762416807
2026-12-25,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,2550.007351146569
2026-12-21,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,1932.4114955964778
2026-12-06,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3687.344689472995
2026-12-13,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1580.457648210891
2026-12-29,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,282.74428509117166
2026-12-07,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,613.1290579149357
2026-12-17,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,3068.8048572559355
2026-12-26,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,2303.1873293589906
2026-12-20,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,665.680246650834
2026-12-15,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,2429.0452551512367
2026-12-31,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2941.1250705770794
2026-12-04,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,391.10303160995085
2026-12-04,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,2171.8707658693756
2026-12-27,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,408.5776212975567
2026-12-11,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,526.7488480454259
2026-12-19,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,569.3724779287851
2026-12-26,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,400.2180980455356
2026-12-21,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,2995.728446347188
2026-12-24,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,816.3881827700792
2026-12-27,C1023,Hogar,Cataluña,Tienda,11,104.03,0.0,50,1179.8656639545538
2026-12-09,C1024,Alimentación,Madrid,Online,4,23.9,0.04,20,37.1665095776107
2026-12-30,C1025,Moda,Andalucía,Online,7,,0.07,14,277.54260166979424
2026-12-02,C1026,Tecnología,Valencia,Distribuidor,11,307.56,0.07,5,3392.6652839109192
2026-12-03,C1027,Alimentación,Cataluña,Tienda,5,57.08,0.0,41,604.2465048865859
2026-12-01,C1028,Alimentación,Madrid,Tienda,11,25.2,0.06,40,223.77414157008766
2026-12-13,C1029,Tecnología,Andalucía,Distribuidor,10,280.9,0.04,34,2350.4993231842436
2026-12-03,C1030,Alimentación,Andalucía,Tienda,5,30.68,0.07,45,260.75957012502187
2026-12-26,C1031,Tecnología,Madrid,Distribuidor,15,281.95,0.13,71,4628.046323214422
2026-12-20,C1032,Tecnología,Valencia,Tienda,7,283.88,0.05,71,2313.239140093764
2026-12-25,C1033,Servicios,Madrid,Online,5,187.91,0.13,27,984.021669482004
2026-12-18,C1034,Servicios,Cataluña,Online,6,136.48,0.19,44,776.3741245254121
2026-12-19,C1035,Moda,Madrid,Tienda,8,75.5,0.02,33,559.4526335064842
2026-12-17,C1036,Hogar,,Tienda,9,114.02,0.08,33,1118.2315804811522
2026-12-23,C1037,Tecnología,Madrid,Online,11,269.43,0.02,44,3502.8120973067735
2026-12-21,C1038,Moda,Valencia,Online,9,81.91,0.2,20,475.77774463703037
2026-12-05,C1039,Alimentación,Castilla-La Mancha,Online,7,57.0,0.07,36,519.100417920423
2026-12-11,C1040,Tecnología,Madrid,Online,7,290.34,0.03,7,1865.742153411422
2026-12-11,C1041,Alimentación,Valencia,Tienda,10,27.22,0.13,32,354.0724956490448
2026-12-20,C1042,Tecnología,Valencia,Online,11,263.86,0.05,67,3262.9684062304673
2026-12-29,C1043,Servicios,Andalucía,Tienda,9,134.91,0.1,39,905.7401643304198
2026-12-17,C1044,Hogar,Valencia,Tienda,6,122.74,0.14,24,689.4122261563202
2026-12-06,C1045,Moda,Valencia,Tienda,12,78.69,0.02,70,1530.1329615586733
2026-12-31,C1046,Hogar,Valencia,Distribuidor,9,118.47,0.02,54,1718.412915022019
2026-12-05,C1047,Alimentación,Valencia,Online,8,49.01,0.02,38,661.2333641591994
2026-12-22,C1048,Alimentación,Cataluña,Tienda,8,15.2,0.12,32,158.60271859899032
2026-12-12,C1049,Tecnología,Cataluña,Online,7,277.43,0.04,45,2297.5656665226734
2026-12-09,C1050,Servicios,Andalucía,Online,8,176.25,0.02,61,1693.0738887318605
2026-12-30,C1051,Moda,Madrid,Distribuidor,10,68.35,0.1,70,1045.09180440561
2026-12-20,C1052,Servicios,Valencia,Online,8,197.52,0.1,53,1931.0326042954835
2026-12-30,C1053,Servicios,Madrid,Online,10,178.43,0.08,51,1703.3535161489622
2026-12-08,C1054,Alimentación,Madrid,Tienda,10,30.58,0.11,56,363.63962883325524
2026-12-16,C1055,Servicios,Andalucía,Online,15,165.95,0.06,27,3059.4366636544814
2026-12-28,C1056,Tecnología,Valencia,Distribuidor,12,299.93,0.03,38,3361.3648776353352
2026-12-27,C1057,Tecnología,Valencia,Online,3,258.53,0.09,62,916.530316596486
2026-12-09,C1058,Tecnología,Castilla-La Mancha,Distribuidor,4,271.71,0.07,18,681.6720584897611
2026-12-11,C1059,Hogar,Madrid,Tienda,9,145.41,0.04,64,1450.309404744473
2026-12-19,C1060,Hogar,Madrid,Tienda,7,127.02,0.05,30,1008.4001714397833
2026-12-16,C1061,Hogar,Cataluña,Distribuidor,11,119.7,0.08,49,1581.1190307376414
2026-12-18,C1062,Moda,Castilla-La Mancha,Online,9,70.33,0.06,41,866.2101744072993
2026-12-28,C1063,Hogar,Cataluña,Distribuidor,16,105.8,0.01,13,1553.771914565555
2026-12-13,C1064,Hogar,Cataluña,Online,10,118.97,0.11,34,1140.086710505669
2026-12-31,C1065,Alimentación,Cataluña,Tienda,5,29.75,0.15,25,88.90440817979686
2026-12-24,C1066,Tecnología,Andalucía,Online,6,282.69,0.13,66,1263.9472834613557
2026-12-04,C1067,Moda,Andalucía,Tienda,4,47.41,0.05,18,110.2733015089245
2026-12-27,C1068,Tecnología,Cataluña,Online,10,285.97,0.02,5,2387.592674915939
2026-12-15,C1069,Servicios,Castilla-La Mancha,Distribuidor,9,195.25,0.05,19,1767.107104242455
2026-12-29,C1070,Moda,Madrid,Distribuidor,11,66.94,0.01,42,589.2705446519443
2026-12-08,C1071,Tecnología,Castilla-La Mancha,Distribuidor,7,289.71,0.05,18,2509.0190573538002
2026-12-10,C1072,Tecnología,Valencia,Online,10,284.66,0.08,32,3294.9743598535174
2026-12-13,C1073,Moda,Andalucía,Tienda,8,60.88,0.08,21,448.40276323445863
2026-12-25,C1074,Moda,Madrid,Tienda,12,54.12,0.07,10,750.7189272830205
2026-12-07,C1075,Moda,Madrid,Online,7,56.22,0.03,37,679.446094791709
2026-12-13,C1076,Moda,Valencia,Online,9,74.39,0.11,49,670.2957861064243
2026-12-16,C1077,Tecnología,Valencia,Online,8,279.16,0.05,13,1631.597056568686
2026-12-21,C1078,Hogar,Cataluña,Tienda,7,,0.02,55,806.7833492663142
2026-12-07,C1079,Tecnología,Andalucía,Tienda,10,291.86,0.08,17,3766.167449660113
2026-12-22,C1080,Servicios,Andalucía,Tienda,11,191.83,0.03,9,1823.6752989817458
2026-12-02,C1081,Alimentación,Castilla-La Mancha,Online,11,38.95,0.04,44,614.1548880515386
2026-12-31,C1082,Hogar,Cataluña,Online,5,105.57,0.03,46,630.0082869483568
2026-12-06,C1083,Tecnología,Cataluña,Online,12,284.88,0.03,8,4144.072561906277
2026-12-15,C1084,Hogar,Cataluña,Distribuidor,8,,0.05,37,807.6385592295729
2026-12-06,C1085,Hogar,Cataluña,Online,11,102.92,0.04,19,1056.73812010343
2026-12-07,C1086,Moda,Andalucía,Online,4,88.15,0.02,63,499.45885267507254
2026-12-20,C1087,Alimentación,Andalucía,Online,7,51.53,0.02,46,488.1728935928623
2026-12-23,C1088,Servicios,Cataluña,Distribuidor,9,162.84,0.08,71,1159.2253855695706
2026-12-19,C1089,Alimentación,Castilla-La Mancha,Distribuidor,6,25.43,0.04,26,54.65962125495186
2026-12-22,C1090,Tecnología,Madrid,Tienda,6,271.75,0.12,46,1460.335966156792
2026-12-06,C1091,Moda,Madrid,Tienda,6,79.15,0.05,46,684.2671205429835
2026-12-05,C1092,Moda,Castilla-La Mancha,Tienda,15,77.42,0.06,14,1445.7962201754765
2026-12-29,C1093,Alimentación,Cataluña,Online,4,35.67,0.03,63,368.9587405466635
2026-12-03,C1094,Moda,Andalucía,Distribuidor,8,74.11,0.01,3,246.6732145654178
2026-12-30,C1095,Alimentación,Madrid,Tienda,14,15.69,0.03,28,291.26764532977614
2026-12-21,C1096,Alimentación,Valencia,Tienda,7,40.72,0.08,29,374.0362802523958
2026-12-30,C1097,Alimentación,Valencia,Tienda,5,33.49,0.01,18,43.38675102956504
2026-12-03,C1098,Tecnología,Castilla-La Mancha,Tienda,8,269.81,0.06,35,2037.2989620220744
2026-12-22,C1099,Tecnología,Cataluña,Tienda,10,257.01,0.07,47,1901.618561731275
2026-12-25,C1100,Tecnología,Madrid,Distribuidor,5,280.4,0.14,5,1049.4363757221488
2026-12-26,C1101,Alimentación,Cataluña,Distribuidor,8,40.35,0.06,59,269.61755772661706
2026-12-10,C1102,Hogar,Madrid,Tienda,10,94.46,0.03,59,754.1632036475745
2026-12-16,C1103,Alimentación,Castilla-La Mancha,Tienda,6,35.28,0.11,47,445.64417591228727
