fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-01-23,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,680.8802658310541
2026-01-04,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,875.9884758529404
2026-01-12,C1002,Moda,Madrid,Online,7,39.77,0.05,26,266.7082120011981
2026-01-29,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,306.27385282919374
2026-01-21,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,2708.834510160181
2026-01-10,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,1827.3419985529283
2026-01-07,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3363.2237500460906
2026-01-06,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1416.42865467378
2026-01-16,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,253.47840773378812
2026-01-01,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,424.98742909518376
2026-01-10,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,3915.8266231364173
2026-01-04,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,2312.966051277035
2026-01-24,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,585.0990007151537
2026-01-09,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,1645.8411452905775
2026-01-26,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2179.7627929747355
2026-01-11,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,400.5408975403153
2026-01-10,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,1614.6334889986535
2026-01-10,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,445.5276361450454
2026-01-03,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,471.00174941471454
2026-01-20,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,619.3758248262905
2026-01-14,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,373.95635364405973
2026-01-15,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,3409.8756110796226
2026-01-14,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,886.4767207179269
2026-01-28,C1023,Hogar,Cataluña,Tienda,11,104.03,0.0,50,1093.4074214786076
2026-01-03,C1024,Alimentación,Madrid,Online,4,23.9,0.04,20,35.00254838485834
2026-01-17,C1025,Moda,Andalucía,Online,7,,0.07,14,399.4412155716548
2026-01-21,C1026,Tecnología,Valencia,Distribuidor,11,307.56,0.07,5,3627.132002125041
2026-01-01,C1027,Alimentación,Cataluña,Tienda,5,57.08,0.0,41,556.7353231769857
2026-01-22,C1028,Alimentación,Madrid,Tienda,11,25.2,0.06,40,270.97230829543525
2026-01-11,C1029,Tecnología,Andalucía,Distribuidor,10,280.9,0.04,34,2710.664214887899
2026-01-25,C1030,Alimentación,Andalucía,Tienda,5,30.68,0.07,45,355.9465286577219
2026-01-17,C1031,Tecnología,Madrid,Distribuidor,15,281.95,0.13,71,3557.014826501445
2026-01-12,C1032,Tecnología,Valencia,Tienda,7,283.88,0.05,71,2272.73746527578
2026-01-19,C1033,Servicios,Madrid,Online,5,187.91,0.13,27,956.4441878048227
2026-01-20,C1034,Servicios,Cataluña,Online,6,136.48,0.19,44,549.9164088709769
2026-01-28,C1035,Moda,Madrid,Tienda,8,75.5,0.02,33,634.731621041205
2026-01-19,C1036,Hogar,,Tienda,9,114.02,0.08,33,1215.3415695799433
2026-01-09,C1037,Tecnología,Madrid,Online,11,269.43,0.02,44,3778.6685610053446
2026-01-11,C1038,Moda,Valencia,Online,9,81.91,0.2,20,542.1648723249824
2026-01-03,C1039,Alimentación,Castilla-La Mancha,Online,7,57.0,0.07,36,610.1605991418985
2026-01-20,C1040,Tecnología,Madrid,Online,7,290.34,0.03,7,2210.5829050457187
2026-01-03,C1041,Alimentación,Valencia,Tienda,10,27.22,0.13,32,412.23473964934885
2026-01-29,C1042,Tecnología,Valencia,Online,11,263.86,0.05,67,2513.374104226022
2026-01-06,C1043,Servicios,Andalucía,Tienda,9,134.91,0.1,39,1320.9691788813539
2026-01-15,C1044,Hogar,Valencia,Tienda,6,122.74,0.14,24,487.66111888573823
2026-01-29,C1045,Moda,Valencia,Tienda,12,78.69,0.02,70,1428.5054044329283
2026-01-25,C1046,Hogar,Valencia,Distribuidor,9,118.47,0.02,54,1415.3863864297527
2026-01-30,C1047,Alimentación,Valencia,Online,8,49.01,0.02,38,623.116781298611
2026-01-17,C1048,Alimentación,Cataluña,Tienda,8,15.2,0.12,32,132.00762498265578
2026-01-24,C1049,Tecnología,Cataluña,Online,7,277.43,0.04,45,2310.115076253272
2026-01-02,C1050,Servicios,Andalucía,Online,8,176.25,0.02,61,1451.5230601484193
2026-01-20,C1051,Moda,Madrid,Distribuidor,10,68.35,0.1,70,1198.762724994753
2026-01-26,C1052,Servicios,Valencia,Online,8,197.52,0.1,53,1569.9656393728021
2026-01-07,C1053,Servicios,Madrid,Online,10,178.43,0.08,51,2233.716665851601
2026-01-25,C1054,Alimentación,Madrid,Tienda,10,30.58,0.11,56,424.7386624020455
2026-01-13,C1055,Servicios,Andalucía,Online,15,165.95,0.06,27,3063.4199098550357
