fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-02-01,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,632.5213554546551
2026-02-17,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,900.4479531238834
2026-02-01,C1002,Moda,Madrid,Online,7,39.77,0.05,26,254.03819387648298
2026-02-12,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,247.20210553517256
2026-02-13,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,1924.6303306580114
2026-02-07,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,1867.4088576485733
2026-02-05,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3806.0638465171673
2026-02-05,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1089.8214513525334
2026-02-27,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,242.95087999926486
2026-02-23,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,572.9130598019625
2026-02-04,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,3175.4608435383902
2026-02-09,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,2184.5650000267833
2026-02-18,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,685.0924309268452
2026-02-16,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,1839.747317208903
2026-02-11,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2786.3300539349398
2026-02-17,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,472.937153802946
2026-02-21,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,1690.8947571954648
2026-02-27,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,344.5527064944291
2026-02-06,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,556.3443345635703
2026-02-27,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,624.6000023933234
2026-02-25,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,396.14882858919424
2026-02-07,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,2797.050692927474
2026-02-18,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,749.9809795628091
2026-02-16,C1023,Hogar,Cataluña,Tienda,11,104.03,0.0,50,1458.3724800146415
2026-02-12,C1024,Alimentación,Madrid,Online,4,23.9,0.04,20,46.88356190577164
2026-02-21,C1025,Moda,Andalucía,Online,7,,0.07,14,332.69477692336056
2026-02-27,C1026,Tecnología,Valencia,Distribuidor,11,307.56,0.07,5,2963.4761853251116
2026-02-26,C1027,Alimentación,Cataluña,Tienda,5,57.08,0.0,41,632.7726821354619
2026-02-06,C1028,Alimentación,Madrid,Tienda,11,25.2,0.06,40,248.10923983124252
2026-02-19,C1029,Tecnología,Andalucía,Distribuidor,10,280.9,0.04,34,1988.3745814032836
2026-02-12,C1030,Alimentación,Andalucía,Tienda,5,30.68,0.07,45,314.4012773709061
2026-02-14,C1031,Tecnología,Madrid,Distribuidor,15,281.95,0.13,71,3110.7494508095665
2026-02-12,C1032,Tecnología,Valencia,Tienda,7,283.88,0.05,71,2754.6378100519155
2026-02-23,C1033,Servicios,Madrid,Online,5,187.91,0.13,27,995.8205324524727
2026-02-03,C1034,Servicios,Cataluña,Online,6,136.48,0.19,44,599.8264922523173
2026-02-27,C1035,Moda,Madrid,Tienda,8,75.5,0.02,33,536.4809889266506
2026-02-14,C1036,Hogar,,Tienda,9,114.02,0.08,33,1070.018418482015
2026-02-24,C1037,Tecnología,Madrid,Online,11,269.43,0.02,44,3766.80986463034
2026-02-07,C1038,Moda,Valencia,Online,9,81.91,0.2,20,534.9592650467622
2026-02-28,C1039,Alimentación,Castilla-La Mancha,Online,7,57.0,0.07,36,557.6211063264261
2026-02-27,C1040,Tecnología,Madrid,Online,7,290.34,0.03,7,2075.8947589537484
2026-02-04,C1041,Alimentación,Valencia,Tienda,10,27.22,0.13,32,372.67139075215636
2026-02-10,C1042,Tecnología,Valencia,Online,11,263.86,0.05,67,3229.2047959087395
2026-02-02,C1043,Servicios,Andalucía,Tienda,9,134.91,0.1,39,1297.5503133374507
2026-02-25,C1044,Hogar,Valencia,Tienda,6,122.74,0.14,24,639.7615802459547
