fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-07-28,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,716.6459088916658
2026-07-01,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,1071.0929856062762
2026-07-21,C1002,Moda,Madrid,Online,7,39.77,0.05,26,265.6288528544164
2026-07-27,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,253.4552589875138
2026-07-17,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,2207.7312699972554
2026-07-25,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,2325.1660525088973
2026-07-14,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3712.00991260562
2026-07-15,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1218.5896897775935
2026-07-15,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,251.15345639215838
2026-07-22,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,451.83908108025594
2026-07-28,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,3682.285635312036
2026-07-21,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,2061.0480192413615
2026-07-04,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,504.4084838112408
2026-07-10,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,1690.393087060026
2026-07-30,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2496.1916352396993
2026-07-23,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,400.16053834585966
2026-07-17,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,2228.5178759928185
2026-07-11,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,459.6614440043403
2026-07-24,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,545.327263522349
2026-07-21,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,604.9856233110087
2026-07-02,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,330.1134183076608
2026-07-15,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,3329.643875040379
2026-07-05,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,683.4788452594559
