fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-06-09,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,851.0876411818656
2026-06-05,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,1218.7810980478032
2026-06-05,C1002,Moda,Madrid,Online,7,39.77,0.05,26,258.72513794731304
2026-06-11,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,350.9460219988908
2026-06-07,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,2017.3591590563115
2026-06-22,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,2065.9947625020773
2026-06-08,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3238.041570992033
2026-06-08,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1114.151557387355
2026-06-09,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,257.97823323713357
2026-06-22,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,557.4160916416153
2026-06-18,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,3433.978911886159
2026-06-15,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,2686.7198968044218
2026-06-19,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,657.238730137615
2026-06-16,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,1805.2009045879236
2026-06-01,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2303.690113093741
2026-06-18,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,370.5024058615281
2026-06-25,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,1812.9916823230776
2026-06-11,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,453.89779440640865
2026-06-15,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,491.9050561825429
2026-06-14,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,574.326005876657
2026-06-14,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,412.61314579956445
2026-06-01,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,3407.290295108353
2026-06-18,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,812.9163256975326
2026-06-02,C1023,Hogar,Cataluña,Tienda,11,104.03,0.0,50,1211.9034294450332
2026-06-18,C1024,Alimentación,Madrid,Online,4,23.9,0.04,20,35.632793741020116
2026-06-30,C1025,Moda,Andalucía,Online,7,,0.07,14,307.5422170972561
2026-06-04,C1026,Tecnología,Valencia,Distribuidor,11,307.56,0.07,5,4075.7061114420803
2026-06-18,C1027,Alimentación,Cataluña,Tienda,5,57.08,0.0,41,593.5378680967913
2026-06-22,C1028,Alimentación,Madrid,Tienda,11,25.2,0.06,40,248.97326550178835
2026-06-27,C1029,Tecnología,Andalucía,Distribuidor,10,280.9,0.04,34,2371.5012770131348
2026-06-08,C1030,Alimentación,Andalucía,Tienda,5,30.68,0.07,45,329.9356983902666
2026-06-10,C1031,Tecnología,Madrid,Distribuidor,15,281.95,0.13,71,3232.6573691802528
2026-06-06,C1032,Tecnología,Valencia,Tienda,7,283.88,0.05,71,2607.504480270306
2026-06-23,C1033,Servicios,Madrid,Online,5,187.91,0.13,27,719.9876157970068
2026-06-09,C1034,Servicios,Cataluña,Online,6,136.48,0.19,44,706.4845865158994
2026-06-15,C1035,Moda,Madrid,Tienda,8,75.5,0.02,33,661.2469682042887
2026-06-24,C1036,Hogar,,Tienda,9,114.02,0.08,33,1316.571644418289
2026-06-17,C1037,Tecnología,Madrid,Online,11,269.43,0.02,44,3853.672858384668
2026-06-29,C1038,Moda,Valencia,Online,9,81.91,0.2,20,520.6653762291159
2026-06-10,C1039,Alimentación,Castilla-La Mancha,Online,7,57.0,0.07,36,536.5569793897573
2026-06-28,C1040,Tecnología,Madrid,Online,7,290.34,0.03,7,2150.706795737467
2026-06-14,C1041,Alimentación,Valencia,Tienda,10,27.22,0.13,32,390.16737737468975
2026-06-10,C1042,Tecnología,Valencia,Online,11,263.86,0.05,67,3035.1608904692475
2026-06-19,C1043,Servicios,Andalucía,Tienda,9,134.91,0.1,39,1190.880697921437
2026-06-02,C1044,Hogar,Valencia,Tienda,6,122.74,0.14,24,593.2452391827136
2026-06-04,C1045,Moda,Valencia,Tienda,12,78.69,0.02,70,1425.4337699882574
2026-06-21,C1046,Hogar,Valencia,Distribuidor,9,118.47,0.02,54,1587.7132851299527
2026-06-20,C1047,Alimentación,Valencia,Online,8,49.01,0.02,38,597.9740484759724
2026-06-13,C1048,Alimentación,Cataluña,Tienda,8,15.2,0.12,32,163.5885721164913
2026-06-20,C1049,Tecnología,Cataluña,Online,7,277.43,0.04,45,2402.216587358705
2026-06-16,C1050,Servicios,Andalucía,Online,8,176.25,0.02,61,1459.6933810257547
2026-06-21,C1051,Moda,Madrid,Distribuidor,10,68.35,0.1,70,1121.1157343989782
2026-06-19,C1052,Servicios,Valencia,Online,8,197.52,0.1,53,1627.8818934222566
2026-06-23,C1053,Servicios,Madrid,Online,10,178.43,0.08,51,1908.1826839368168
2026-06-05,C1054,Alimentación,Madrid,Tienda,10,30.58,0.11,56,436.97398706497313
2026-06-01,C1055,Servicios,Andalucía,Online,15,165.95,0.06,27,2931.207897550228
2026-06-07,C1056,Tecnología,Valencia,Distribuidor,12,299.93,0.03,38,3231.6699711344145
2026-06-16,C1057,Tecnología,Valencia,Online,3,258.53,0.09,62,707.8586009136473
2026-06-15,C1058,Tecnología,Castilla-La Mancha,Distribuidor,4,271.71,0.07,18,744.490974555172
2026-06-07,C1059,Hogar,Madrid,Tienda,9,145.41,0.04,64,1001.9127913408007
2026-06-01,C1060,Hogar,Madrid,Tienda,7,127.02,0.05,30,1155.9026099689925
2026-06-01,C1061,Hogar,Cataluña,Distribuidor,11,119.7,0.08,49,1082.9273097299765
2026-06-10,C1062,Moda,Castilla-La Mancha,Online,9,70.33,0.06,41,699.4627655657229
2026-06-09,C1063,Hogar,Cataluña,Distribuidor,16,105.8,0.01,13,1481.0119790012802
2026-06-26,C1064,Hogar,Cataluña,Online,10,118.97,0.11,34,1111.6039739382602
2026-06-21,C1065,Alimentación,Cataluña,Tienda,5,29.75,0.15,25,94.5825029688556
2026-06-19,C1066,Tecnología,Andalucía,Online,6,282.69,0.13,66,1326.5146048095064
2026-06-11,C1067,Moda,Andalucía,Tienda,4,47.41,0.05,18,90.44138019725479
2026-06-14,C1068,Tecnología,Cataluña,Online,10,285.97,0.02,5,2411.4129535734564
2026-06-23,C1069,Servicios,Castilla-La Mancha,Distribuidor,9,195.25,0.05,19,1627.6239735530505
2026-06-15,C1070,Moda,Madrid,Distribuidor,11,66.94,0.01,42,809.9628315292567
2026-06-21,C1071,Tecnología,Castilla-La Mancha,Distribuidor,7,289.71,0.05,18,2524.7410798273077
2026-06-02,C1072,Tecnología,Valencia,Online,10,284.66,0.08,32,3581.765408250214
2026-06-11,C1073,Moda,Andalucía,Tienda,8,60.88,0.08,21,377.11181354843876
2026-06-21,C1074,Moda,Madrid,Tienda,12,54.12,0.07,10,670.6050051624173
2026-06-29,C1075,Moda,Madrid,Online,7,56.22,0.03,37,703.2038422610397
2026-06-25,C1076,Moda,Valencia,Online,9,74.39,0.11,49,668.7452965038677
2026-06-09,C1077,Tecnología,Valencia,Online,8,279.16,0.05,13,2025.8026131592728
2026-06-10,C1078,Hogar,Cataluña,Tienda,7,,0.02,55,1011.7246298654339
2026-06-11,C1079,Tecnología,Andalucía,Tienda,10,291.86,0.08,17,3575.6219356979764
2026-06-04,C1080,Servicios,Andalucía,Tienda,11,191.83,0.03,9,1778.0819807109624
2026-06-12,C1081,Alimentación,Castilla-La Mancha,Online,11,38.95,0.04,44,518.1449854228256
2026-06-22,C1082,Hogar,Cataluña,Online,5,105.57,0.03,46,665.0145266340105
2026-06-16,C1083,Tecnología,Cataluña,Online,12,284.88,0.03,8,4063.002061898883
2026-06-24,C1084,Hogar,Cataluña,Distribuidor,8,,0.05,37,1178.1807053553352
2026-06-26,C1085,Hogar,Cataluña,Online,11,102.92,0.04,19,1011.5525209868891
2026-06-06,C1086,Moda,Andalucía,Online,4,88.15,0.02,63,707.4642340291003
2026-06-22,C1087,Alimentación,Andalucía,Online,7,51.53,0.02,46,411.4522396661627
2026-06-09,C1088,Servicios,Cataluña,Distribuidor,9,162.84,0.08,71,1212.8979024546984
2026-06-13,C1089,Alimentación,Castilla-La Mancha,Distribuidor,6,25.43,0.04,26,56.66671171617795
2026-06-28,C1090,Tecnología,Madrid,Tienda,6,271.75,0.12,46,1580.8394606268057
2026-06-22,C1091,Moda,Madrid,Tienda,6,79.15,0.05,46,618.0711988250857
