fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-03-01,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,743.5443593779293
2026-03-02,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,785.7425788230756
2026-03-03,C1002,Moda,Madrid,Online,7,39.77,0.05,26,363.7009669981294
2026-03-04,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,256.87546348240136
2026-03-05,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,1840.2622473585122
2026-03-06,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,1742.437863029326
2026-03-07,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3479.204500205776
2026-03-08,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1717.0962800036377
2026-03-09,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,215.58625645596837
2026-03-10,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,468.2695205363963
2026-03-11,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,3322.4499132166925
2026-03-12,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,1999.511258540271
2026-03-13,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,612.3911372370726
2026-03-14,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,2406.987464784304
2026-03-15,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2297.269529072389
2026-03-16,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,498.81406408898476
2026-03-17,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,1499.9348972396328
2026-03-18,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,505.69010832188224
2026-03-19,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,655.9781211101299
2026-03-20,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,869.5022205414976
2026-03-21,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,398.80201206627515
2026-03-22,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,3134.219426830533
2026-03-23,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,740.1026176276603
2026-03-24,C1023,Hogar,Cataluña,Tienda,11,104.03,0.0,50,1341.6723200399388
2026-03-25,C1024,Alimentación,Madrid,Online,4,23.9,0.04,20,42.24619998159978
2026-03-26,C1025,Moda,Andalucía,Online,7,,0.07,14,394.570682196426
2026-03-27,C1026,Tecnología,Valencia,Distribuidor,11,307.56,0.07,5,3526.061981179411
2026-03-28,C1027,Alimentación,Cataluña,Tienda,5,57.08,0.0,41,576.1531536066404
2026-03-29,C1028,Alimentación,Madrid,Tienda,11,25.2,0.06,40,247.36742190246738
2026-03-30,C1029,Tecnología,Andalucía,Distribuidor,10,280.9,0.04,34,2189.883691312685
2026-03-31,C1030,Alimentación,Andalucía,Tienda,5,30.68,0.07,45,383.0972345458942
2026-03-01,C1031,Tecnología,Madrid,Distribuidor,15,281.95,0.13,71,4429.209360545741
2026-03-02,C1032,Tecnología,Valencia,Tienda,7,283.88,0.05,71,1966.8118027579108
2026-03-03,C1033,Servicios,Madrid,Online,5,187.91,0.13,27,979.8664526991092
2026-03-04,C1034,Servicios,Cataluña,Online,6,136.48,0.19,44,589.3373568707027
2026-03-05,C1035,Moda,Madrid,Tienda,8,75.5,0.02,33,475.89001025728965
2026-03-06,C1036,Hogar,,Tienda,9,114.02,0.08,33,1085.2157106330471
2026-03-07,C1037,Tecnología,Madrid,Online,11,269.43,0.02,44,2638.9744426713883
2026-03-08,C1038,Moda,Valencia,Online,9,81.91,0.2,20,416.7278974337864
2026-03-09,C1039,Alimentación,Castilla-La Mancha,Online,7,57.0,0.07,36,617.6769026025377
2026-03-10,C1040,Tecnología,Madrid,Online,7,290.34,0.03,7,2216.2018608617054
2026-03-11,C1041,Alimentación,Valencia,Tienda,10,27.22,0.13,32,278.06446229594667
2026-03-12,C1042,Tecnología,Valencia,Online,11,263.86,0.05,67,2979.85883814635
2026-03-13,C1043,Servicios,Andalucía,Tienda,9,134.91,0.1,39,1322.3334868451432
2026-03-14,C1044,Hogar,Valencia,Tienda,6,122.74,0.14,24,521.3143089132635
2026-03-15,C1045,Moda,Valencia,Tienda,12,78.69,0.02,70,1431.8345832571808
2026-03-16,C1046,Hogar,Valencia,Distribuidor,9,118.47,0.02,54,1258.9203739036031
2026-03-17,C1047,Alimentación,Valencia,Online,8,49.01,0.02,38,457.18714908645296
2026-03-18,C1048,Alimentación,Cataluña,Tienda,8,15.2,0.12,32,152.9945110932791
2026-03-19,C1049,Tecnología,Cataluña,Online,7,277.43,0.04,45,1845.6706477307173
2026-03-20,C1050,Servicios,Andalucía,Online,8,176.25,0.02,61,1559.320939925831
2026-03-21,C1051,Moda,Madrid,Distribuidor,10,68.35,0.1,70,858.7864715280891
2026-03-22,C1052,Servicios,Valencia,Online,8,197.52,0.1,53,1818.430925034738
2026-03-23,C1053,Servicios,Madrid,Online,10,178.43,0.08,51,1634.854576800783
2026-03-24,C1054,Alimentación,Madrid,Tienda,10,30.58,0.11,56,404.06111042910754
2026-03-25,C1055,Servicios,Andalucía,Online,15,165.95,0.06,27,2437.8277932083533
2026-03-26,C1056,Tecnología,Valencia,Distribuidor,12,299.93,0.03,38,3889.6761389641047
2026-03-27,C1057,Tecnología,Valencia,Online,3,258.53,0.09,62,891.1060354742474
2026-03-28,C1058,Tecnología,Castilla-La Mancha,Distribuidor,4,271.71,0.07,18,935.7729931819664
2026-03-01,C1059,Hogar,Madrid,Tienda,9,145.41,0.04,64,1315.1048728995436
2026-03-02,C1060,Hogar,Madrid,Tienda,7,127.02,0.05,30,952.4596375836651
2026-03-03,C1061,Hogar,Cataluña,Distribuidor,11,119.7,0.08,49,1084.295370991671
2026-03-04,C1062,Moda,Castilla-La Mancha,Online,9,70.33,0.06,41,867.0992052665727
2026-03-05,C1063,Hogar,Cataluña,Distribuidor,16,105.8,0.01,13,1854.6074693431672
2026-03-06,C1064,Hogar,Cataluña,Online,10,118.97,0.11,34,799.1297561231175
2026-03-07,C1065,Alimentación,Cataluña,Tienda,5,29.75,0.15,25,100.95363172847752
2026-03-08,C1066,Tecnología,Andalucía,Online,6,282.69,0.13,66,2008.0417546002072
2026-03-09,C1067,Moda,Andalucía,Tienda,4,47.41,0.05,18,126.36844103788444
2026-03-10,C1068,Tecnología,Cataluña,Online,10,285.97,0.02,5,3287.1111478236066
2026-03-11,C1069,Servicios,Castilla-La Mancha,Distribuidor,9,195.25,0.05,19,2049.571482192202
2026-03-12,C1070,Moda,Madrid,Distribuidor,11,66.94,0.01,42,749.9684780864694
2026-03-13,C1071,Tecnología,Castilla-La Mancha,Distribuidor,7,289.71,0.05,18,2133.552932585804
2026-03-14,C1072,Tecnología,Valencia,Online,10,284.66,0.08,32,2955.883004470091
2026-03-15,C1073,Moda,Andalucía,Tienda,8,60.88,0.08,21,488.4807085862282
2026-03-16,C1074,Moda,Madrid,Tienda,12,54.12,0.07,10,630.5907253567917
2026-03-17,C1075,Moda,Madrid,Online,7,56.22,0.03,37,824.297780782344
2026-03-18,C1076,Moda,Valencia,Online,9,74.39,0.11,49,671.9986024522065
2026-03-19,C1077,Tecnología,Valencia,Online,8,279.16,0.05,13,2617.826172655463
2026-03-20,C1078,Hogar,Cataluña,Tienda,7,,0.02,55,852.3505821311259
2026-03-21,C1079,Tecnología,Andalucía,Tienda,10,291.86,0.08,17,3298.9552154867642
2026-03-22,C1080,Servicios,Andalucía,Tienda,11,191.83,0.03,9,2281.2375237992287
2026-03-23,C1081,Alimentación,Castilla-La Mancha,Online,11,38.95,0.04,44,577.4974060936345
2026-03-24,C1082,Hogar,Cataluña,Online,5,105.57,0.03,46,747.7102618811961
2026-03-25,C1083,Tecnología,Cataluña,Online,12,284.88,0.03,8,3935.2406379260897
2026-03-26,C1084,Hogar,Cataluña,Distribuidor,8,,0.05,37,930.092563459
2026-03-27,C1085,Hogar,Cataluña,Online,11,102.92,0.04,19,1175.064229309932
2026-03-28,C1086,Moda,Andalucía,Online,4,88.15,0.02,63,641.5442042551903
2026-03-29,C1087,Alimentación,Andalucía,Online,7,51.53,0.02,46,398.98749028644073
2026-03-30,C1088,Servicios,Cataluña,Distribuidor,9,162.84,0.08,71,1286.2306065938915
2026-03-31,C1089,Alimentación,Castilla-La Mancha,Distribuidor,6,25.43,0.04,26,65.32892362116849
2026-03-01,C1090,Tecnología,Madrid,Tienda,6,271.75,0.12,46,1279.9806578648893
2026-03-02,C1091,Moda,Madrid,Tienda,6,79.15,0.05,46,832.9234196480631
2026-03-03,C1092,Moda,Castilla-La Mancha,Tienda,15,77.42,0.06,14,1239.3206275242503
2026-03-04,C1093,Alimentación,Cataluña,Online,4,35.67,0.03,63,325.178974224881
2026-03-05,C1094,Moda,Andalucía,Distribuidor,8,74.11,0.01,3,276.2604314671632
2026-03-06,C1095,Alimentación,Madrid,Tienda,14,15.69,0.03,28,259.5253312658218
2026-03-07,C1096,Alimentación,Valencia,Tienda,7,40.72,0.08,29,381.86880731729326
2026-03-08,C1097,Alimentación,Valencia,Tienda,5,33.49,0.01,18,42.92717768347038
2026-03-09,C1098,Tecnología,Castilla-La Mancha,Tienda,8,269.81,0.06,35,2424.094320188394
2026-03-10,C1099,Tecnología,Cataluña,Tienda,10,257.01,0.07,47,2491.0747354445575
2026-03-11,C1100,Tecnología,Madrid,Distribuidor,5,280.4,0.14,5,899.4179946466628
2026-03-12,C1101,Alimentación,Cataluña,Distribuidor,8,40.35,0.06,59,294.453067831277
2026-03-13,C1102,Hogar,Madrid,Tienda,10,94.46,0.03,59,1007.4291694456963
2026-03-14,C1103,Alimentación,Castilla-La Mancha,Tienda,6,35.28,0.11,47,368.36152772945684
2026-03-15,C1104,Servicios,Castilla-La Mancha,Online,9,181.83,0.05,13,1819.4183344784128
2026-03-16,C1105,Hogar,Valencia,Tienda,13,111.69,0.04,33,1519.6932266131637
2026-03-17,C1106,Hogar,Cataluña,Online,5,125.7,0.04,62,620.685097773826
2026-03-18,C1107,Moda,Valencia,Tienda,11,68.01,0.12,16,1072.1251226972636
2026-03-19,C1108,Hogar,Cataluña,Distribuidor,10,124.25,0.07,44,1050.4570194244404
2026-03-20,C1109,Tecnología,Valencia,Tienda,12,288.01,0.04,58,4047.059678264451
2026-03-21,C1110,Hogar,Andalucía,Tienda,10,128.02,0.1,6,936.5999719019012
2026-03-22,C1111,Tecnología,Andalucía,Online,11,295.25,0.03,15,3343.5222002664755
2026-03-23,C1112,Servicios,Andalucía,Online,6,185.07,0.15,4,903.2547485500247
2026-03-24,C1113,Moda,Andalucía,Tienda,8,62.84,0.06,56,499.1030826065423
2026-03-25,C1114,Alimentación,Madrid,Online,10,25.28,0.13,64,382.76889856501793
2026-03-26,C1115,Servicios,Andalucía,Online,7,164.05,0.02,68,1153.4054557250986
