fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-05-13,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,628.829483873385
2026-05-15,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,948.7775963774423
2026-05-04,C1002,Moda,Madrid,Online,7,39.77,0.05,26,283.1721110829578
2026-05-13,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,301.92174682136846
2026-05-28,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,2312.8309212499958
2026-05-15,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,1675.0951546382332
2026-05-07,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3978.788828590444
2026-05-04,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1151.937991532433
2026-05-02,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,193.27838838925302
2026-05-22,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,592.5715577716716
2026-05-02,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,3948.436733833202
2026-05-15,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,2977.534188113041
2026-05-25,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,601.8008924422084
2026-05-21,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,2336.8109178102877
2026-05-12,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2791.0433555150985
2026-05-12,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,420.54609804611164
2026-05-16,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,2006.5682228497817
2026-05-06,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,371.3802554736812
2026-05-18,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,416.71865862410954
2026-05-04,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,692.8956337779578
2026-05-07,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,306.678954476115
2026-05-11,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,2772.3203463802374
2026-05-19,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,933.0531572647359
2026-05-01,C1023,Hogar,Cataluña,Tienda,11,104.03,0.0,50,1365.8151493352227
2026-05-21,C1024,Alimentación,Madrid,Online,4,23.9,0.04,20,44.29284765273105
2026-05-07,C1025,Moda,Andalucía,Online,7,,0.07,14,318.8646671811103
2026-05-26,C1026,Tecnología,Valencia,Distribuidor,11,307.56,0.07,5,4105.318196944843
2026-05-10,C1027,Alimentación,Cataluña,Tienda,5,57.08,0.0,41,510.00721598864925
2026-05-23,C1028,Alimentación,Madrid,Tienda,11,25.2,0.06,40,295.80089415182607
2026-05-04,C1029,Tecnología,Andalucía,Distribuidor,10,280.9,0.04,34,2852.4293068075676
2026-05-05,C1030,Alimentación,Andalucía,Tienda,5,30.68,0.07,45,292.5735221960908
2026-05-12,C1031,Tecnología,Madrid,Distribuidor,15,281.95,0.13,71,4071.8787875870776
2026-05-17,C1032,Tecnología,Valencia,Tienda,7,283.88,0.05,71,2698.990446459154
2026-05-31,C1033,Servicios,Madrid,Online,5,187.91,0.13,27,800.4967988291055
2026-05-06,C1034,Servicios,Cataluña,Online,6,136.48,0.19,44,762.6983995332855
2026-05-20,C1035,Moda,Madrid,Tienda,8,75.5,0.02,33,522.6675405459532
2026-05-12,C1036,Hogar,,Tienda,9,114.02,0.08,33,1249.3889994290905
2026-05-09,C1037,Tecnología,Madrid,Online,11,269.43,0.02,44,3567.1292212915014
2026-05-22,C1038,Moda,Valencia,Online,9,81.91,0.2,20,501.95659511589946
2026-05-30,C1039,Alimentación,Castilla-La Mancha,Online,7,57.0,0.07,36,707.320429969779
2026-05-05,C1040,Tecnología,Madrid,Online,7,290.34,0.03,7,1831.6298420059798
2026-05-28,C1041,Alimentación,Valencia,Tienda,10,27.22,0.13,32,407.4237563172595
2026-05-27,C1042,Tecnología,Valencia,Online,11,263.86,0.05,67,3098.001660826647
2026-05-25,C1043,Servicios,Andalucía,Tienda,9,134.91,0.1,39,1299.5734974615227
2026-05-11,C1044,Hogar,Valencia,Tienda,6,122.74,0.14,24,629.4757945438934
2026-05-01,C1045,Moda,Valencia,Tienda,12,78.69,0.02,70,1373.739370532821
2026-05-05,C1046,Hogar,Valencia,Distribuidor,9,118.47,0.02,54,1695.344131616153
2026-05-29,C1047,Alimentación,Valencia,Online,8,49.01,0.02,38,661.5742705900328
2026-05-06,C1048,Alimentación,Cataluña,Tienda,8,15.2,0.12,32,193.92170403775216
2026-05-05,C1049,Tecnología,Cataluña,Online,7,277.43,0.04,45,2186.318316625997
2026-05-16,C1050,Servicios,Andalucía,Online,8,176.25,0.02,61,1542.7195739035274
2026-05-19,C1051,Moda,Madrid,Distribuidor,10,68.35,0.1,70,1289.843496726594
2026-05-08,C1052,Servicios,Valencia,Online,8,197.52,0.1,53,1591.493644291309
2026-05-31,C1053,Servicios,Madrid,Online,10,178.43,0.08,51,1702.215883894695
2026-05-21,C1054,Alimentación,Madrid,Tienda,10,30.58,0.11,56,356.7323868700245
2026-05-17,C1055,Servicios,Andalucía,Online,15,165.95,0.06,27,3015.5414128343177
2026-05-20,C1056,Tecnología,Valencia,Distribuidor,12,299.93,0.03,38,4360.583620872655
2026-05-22,C1057,Tecnología,Valencia,Online,3,258.53,0.09,62,961.0296172695968
2026-05-21,C1058,Tecnología,Castilla-La Mancha,Distribuidor,4,271.71,0.07,18,868.2309720941652
2026-05-16,C1059,Hogar,Madrid,Tienda,9,145.41,0.04,64,1119.0106249139208
2026-05-20,C1060,Hogar,Madrid,Tienda,7,127.02,0.05,30,962.1636092411662
2026-05-05,C1061,Hogar,Cataluña,Distribuidor,11,119.7,0.08,49,1287.3075164234008
2026-05-24,C1062,Moda,Castilla-La Mancha,Online,9,70.33,0.06,41,706.2821269233494
2026-05-08,C1063,Hogar,Cataluña,Distribuidor,16,105.8,0.01,13,1463.765385399105
2026-05-15,C1064,Hogar,Cataluña,Online,10,118.97,0.11,34,881.4347112920433
2026-05-06,C1065,Alimentación,Cataluña,Tienda,5,29.75,0.15,25,90.147894193826
2026-05-22,C1066,Tecnología,Andalucía,Online,6,282.69,0.13,66,1596.6720548941776
2026-05-16,C1067,Moda,Andalucía,Tienda,4,47.41,0.05,18,99.75838038661043
2026-05-24,C1068,Tecnología,Cataluña,Online,10,285.97,0.02,5,2466.473222695698
2026-05-05,C1069,Servicios,Castilla-La Mancha,Distribuidor,9,195.25,0.05,19,1548.3517615931364
2026-05-27,C1070,Moda,Madrid,Distribuidor,11,66.94,0.01,42,764.2322279216374
2026-05-17,C1071,Tecnología,Castilla-La Mancha,Distribuidor,7,289.71,0.05,18,1799.418730620572
2026-05-23,C1072,Tecnología,Valencia,Online,10,284.66,0.08,32,3502.309599195259
2026-05-08,C1073,Moda,Andalucía,Tienda,8,60.88,0.08,21,384.8371076062257
2026-05-09,C1074,Moda,Madrid,Tienda,12,54.12,0.07,10,589.374956418487
2026-05-28,C1075,Moda,Madrid,Online,7,56.22,0.03,37,551.1629239191902
2026-05-14,C1076,Moda,Valencia,Online,9,74.39,0.11,49,759.4718558098228
2026-05-25,C1077,Tecnología,Valencia,Online,8,279.16,0.05,13,1969.046590233489
2026-05-31,C1078,Hogar,Cataluña,Tienda,7,,0.02,55,987.8208998467654
2026-05-06,C1079,Tecnología,Andalucía,Tienda,10,291.86,0.08,17,3617.0136029703103
2026-05-22,C1080,Servicios,Andalucía,Tienda,11,191.83,0.03,9,2503.182287551426
2026-05-22,C1081,Alimentación,Castilla-La Mancha,Online,11,38.95,0.04,44,562.0829280767421
2026-05-16,C1082,Hogar,Cataluña,Online,5,105.57,0.03,46,686.8169389757816
2026-05-27,C1083,Tecnología,Cataluña,Online,12,284.88,0.03,8,3176.049698940004
2026-05-26,C1084,Hogar,Cataluña,Distribuidor,8,,0.05,37,1020.2658893498977
2026-05-14,C1085,Hogar,Cataluña,Online,11,102.92,0.04,19,905.1769159954331
2026-05-26,C1086,Moda,Andalucía,Online,4,88.15,0.02,63,575.8741919509428
2026-05-26,C1087,Alimentación,Andalucía,Online,7,51.53,0.02,46,356.9369068535031
2026-05-02,C1088,Servicios,Cataluña,Distribuidor,9,162.84,0.08,71,1395.2608413886387
2026-05-14,C1089,Alimentación,Castilla-La Mancha,Distribuidor,6,25.43,0.04,26,61.66307148340473
2026-05-30,C1090,Tecnología,Madrid,Tienda,6,271.75,0.12,46,1438.993411074143
2026-05-15,C1091,Moda,Madrid,Tienda,6,79.15,0.05,46,575.9289352714147
2026-05-10,C1092,Moda,Castilla-La Mancha,Tienda,15,77.42,0.06,14,1268.2141310954871
2026-05-31,C1093,Alimentación,Cataluña,Online,4,35.67,0.03,63,320.8501215744802
2026-05-05,C1094,Moda,Andalucía,Distribuidor,8,74.11,0.01,3,324.95724225497656
2026-05-09,C1095,Alimentación,Madrid,Tienda,14,15.69,0.03,28,259.8882109148581
2026-05-08,C1096,Alimentación,Valencia,Tienda,7,40.72,0.08,29,332.36979141544276
2026-05-03,C1097,Alimentación,Valencia,Tienda,5,33.49,0.01,18,30.73191651902671
2026-05-12,C1098,Tecnología,Castilla-La Mancha,Tienda,8,269.81,0.06,35,1661.6242636900035
2026-05-29,C1099,Tecnología,Cataluña,Tienda,10,257.01,0.07,47,1835.3876506366169
2026-05-03,C1100,Tecnología,Madrid,Distribuidor,5,280.4,0.14,5,1003.9463595582603
