fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-11-10,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,634.9008511810798
2026-11-18,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,1192.3412093586253
2026-11-12,C1002,Moda,Madrid,Online,7,39.77,0.05,26,273.92611302031304
2026-11-26,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,244.64165104247203
2026-11-25,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,2345.240720546435
2026-11-06,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,2292.7545365629476
2026-11-28,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3538.2569303676128
2026-11-27,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1247.9674767352737
2026-11-14,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,259.11398940020695
2026-11-25,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,615.8833394471933
2026-11-18,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,3760.015785359255
2026-11-02,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,2841.631621527526
2026-11-22,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,524.7417929574442
2026-11-13,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,1780.7148808562465
2026-11-25,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2410.5087251908076
2026-11-29,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,371.49504059310954
2026-11-14,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,1955.5672118172363
2026-11-21,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,359.71360182278784
2026-11-03,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,424.82980197557026
2026-11-09,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,629.8139560358374
2026-11-29,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,364.2701364211848
2026-11-21,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,2578.994706484432
2026-11-25,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,789.889526686424
2026-11-06,C1023,Hogar,Cataluña,Tienda,11,104.03,0.0,50,1276.4755938431622
2026-11-10,C1024,Alimentación,Madrid,Online,4,23.9,0.04,20,49.82397339419147
2026-11-09,C1025,Moda,Andalucía,Online,7,,0.07,14,391.95271364508665
