fecha,cliente_id,categoria,region,canal,unidades,precio_unitario,descuento,antiguedad_cliente_meses,importe
2026-09-22,C1000,Hogar,Madrid,Online,8,99.92,0.07,63,627.0548688509913
2026-09-16,C1001,Servicios,Madrid,Distribuidor,5,192.95,0.1,52,858.0263495478391
2026-09-19,C1002,Moda,Madrid,Online,7,39.77,0.05,26,322.93384460938114
2026-09-11,C1003,Alimentación,Valencia,Online,9,25.17,0.06,53,318.72220527202415
2026-09-19,C1004,Tecnología,Castilla-La Mancha,Distribuidor,8,,0.09,29,2472.4170505388256
2026-09-03,C1005,Tecnología,Valencia,Online,7,263.16,0.07,19,1790.003991519829
2026-09-22,C1006,Tecnología,Castilla-La Mancha,Tienda,14,289.21,0.05,47,3944.2132565673596
2026-09-06,C1007,Servicios,Valencia,Online,9,166.96,0.1,8,1115.9235932700922
2026-09-12,C1008,Alimentación,Valencia,Distribuidor,14,16.61,0.07,23,264.3769112844226
2026-09-13,C1009,Moda,Andalucía,Online,7,89.3,0.08,35,600.0205555949245
2026-09-28,C1010,Tecnología,Valencia,Distribuidor,12,282.31,0.07,53,2985.2044909895335
2026-09-09,C1011,Servicios,Cataluña,Tienda,13,187.79,0.06,58,2111.3285844069164
2026-09-13,C1012,Moda,Andalucía,Online,9,85.27,0.05,5,588.977784483777
2026-09-12,C1013,Tecnología,Valencia,Tienda,11,240.71,0.07,16,1976.3661283153695
2026-09-28,C1014,Tecnología,Madrid,Distribuidor,9,289.52,0.08,17,2492.185222934618
2026-09-16,C1015,Tecnología,Cataluña,Tienda,2,268.58,0.12,32,429.345431420933
2026-09-12,C1016,Hogar,Cataluña,Online,12,110.56,0.01,52,1864.4464824439067
2026-09-18,C1017,Alimentación,Cataluña,Tienda,11,41.56,0.13,20,359.54288220987996
2026-09-07,C1018,Alimentación,Andalucía,Tienda,7,29.55,0.06,66,391.0183937207135
2026-09-27,C1019,Hogar,Valencia,Tienda,7,128.92,0.02,1,717.4223602581586
2026-09-21,C1020,Alimentación,Valencia,Tienda,7,34.39,0.01,58,363.10559859534135
2026-09-24,C1021,Tecnología,Madrid,Online,13,282.52,0.02,44,3321.5344513823634
2026-09-09,C1022,Hogar,Madrid,Online,8,112.65,0.1,6,696.9694998390814
2026-09-13,C1023,Hogar,Cataluña,Tienda,11,104.03,0.0,50,1256.1859052289553
2026-09-16,C1024,Alimentación,Madrid,Online,4,23.9,0.04,20,35.893037818165055
2026-09-21,C1025,Moda,Andalucía,Online,7,,0.07,14,337.1436739142792
2026-09-06,C1026,Tecnología,Valencia,Distribuidor,11,307.56,0.07,5,3977.4713310865145
2026-09-29,C1027,Alimentación,Cataluña,Tienda,5,57.08,0.0,41,668.4198969493361
2026-09-03,C1028,Alimentación,Madrid,Tienda,11,25.2,0.06,40,224.09015861577802
2026-09-05,C1029,Tecnología,Andalucía,Distribuidor,10,280.9,0.04,34,1964.2705259995414
2026-09-09,C1030,Alimentación,Andalucía,Tienda,5,30.68,0.07,45,261.2251080095595
2026-09-24,C1031,Tecnología,Madrid,Distribuidor,15,281.95,0.13,71,3125.07668595958
2026-09-03,C1032,Tecnología,Valencia,Tienda,7,283.88,0.05,71,2073.6691671078265
2026-09-09,C1033,Servicios,Madrid,Online,5,187.91,0.13,27,930.3712910331411
2026-09-10,C1034,Servicios,Cataluña,Online,6,136.48,0.19,44,574.11138422622
2026-09-03,C1035,Moda,Madrid,Tienda,8,75.5,0.02,33,488.78946785075004
2026-09-30,C1036,Hogar,,Tienda,9,114.02,0.08,33,1352.3739986739427
2026-09-12,C1037,Tecnología,Madrid,Online,11,269.43,0.02,44,3464.9235409496687
2026-09-28,C1038,Moda,Valencia,Online,9,81.91,0.2,20,518.5305172343125
2026-09-12,C1039,Alimentación,Castilla-La Mancha,Online,7,57.0,0.07,36,612.1172448233503
2026-09-18,C1040,Tecnología,Madrid,Online,7,290.34,0.03,7,1881.962463506135
2026-09-18,C1041,Alimentación,Valencia,Tienda,10,27.22,0.13,32,318.287635188558
2026-09-15,C1042,Tecnología,Valencia,Online,11,263.86,0.05,67,2593.6725874503068
2026-09-29,C1043,Servicios,Andalucía,Tienda,9,134.91,0.1,39,982.8174929250365
2026-09-10,C1044,Hogar,Valencia,Tienda,6,122.74,0.14,24,660.2232771307615
2026-09-10,C1045,Moda,Valencia,Tienda,12,78.69,0.02,70,1622.9347705654616
2026-09-28,C1046,Hogar,Valencia,Distribuidor,9,118.47,0.02,54,1592.7683800349619
2026-09-17,C1047,Alimentación,Valencia,Online,8,49.01,0.02,38,452.0261031143468
2026-09-28,C1048,Alimentación,Cataluña,Tienda,8,15.2,0.12,32,135.2919747981693
2026-09-21,C1049,Tecnología,Cataluña,Online,7,277.43,0.04,45,2715.3334415104896
2026-09-18,C1050,Servicios,Andalucía,Online,8,176.25,0.02,61,1277.1737349807877
2026-09-16,C1051,Moda,Madrid,Distribuidor,10,68.35,0.1,70,1162.6581290347654
2026-09-29,C1052,Servicios,Valencia,Online,8,197.52,0.1,53,2057.9508210905965
2026-09-23,C1053,Servicios,Madrid,Online,10,178.43,0.08,51,2284.9728448321966
2026-09-12,C1054,Alimentación,Madrid,Tienda,10,30.58,0.11,56,400.26060523372666
2026-09-02,C1055,Servicios,Andalucía,Online,15,165.95,0.06,27,3020.8816631369464
2026-09-30,C1056,Tecnología,Valencia,Distribuidor,12,299.93,0.03,38,4238.477296015736
2026-09-09,C1057,Tecnología,Valencia,Online,3,258.53,0.09,62,690.2683460186618
